timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
256,6.248194694519043,0,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,nan
512,11.805609226226807,1,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
768,17.223069429397583,1,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1024,22.583802223205566,2,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1280,27.54038095474243,2,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1536,32.68511152267456,3,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1792,37.91617465019226,3,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2048,43.23462963104248,4,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2304,48.930933237075806,4,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2560,54.4671995639801,5,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2816,60.227516174316406,5,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3072,65.74188303947449,6,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3328,70.24955773353577,6,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3584,75.51712346076965,7,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3840,81.00575804710388,7,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4096,86.5853955745697,9,10.0,1.1111112,0.0,500,444.55555555555554,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4352,92.84678196907043,9,10.0,1.1111112,0.0,500,444.55555555555554,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4608,98.05081725120544,11,10.0,2.7272727,0.0,500,404.45454545454544,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4864,102.99991393089294,11,10.0,2.7272727,0.0,500,404.45454545454544,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5120,107.87861752510071,12,10.0,2.5,0.0,500,412.4166666666667,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5376,112.72473502159119,12,10.0,2.5,0.0,500,412.4166666666667,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5632,118.26741170883179,13,10.0,2.3076923,0.0,500,419.15384615384613,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5888,123.98782348632812,13,10.0,2.3076923,0.0,500,419.15384615384613,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6144,129.09073138237,14,10.0,2.142857,0.0,500,424.92857142857144,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6400,133.7664294242859,14,10.0,2.142857,0.0,500,424.92857142857144,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6656,139.00976538658142,16,10.0,2.5,0.0,500,403.875,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6912,144.33413767814636,16,10.0,2.5,0.0,500,403.875,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7168,149.1560094356537,18,10.0,2.7777777,0.0,500,387.05555555555554,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7424,153.89567708969116,18,10.0,2.7777777,0.0,500,387.05555555555554,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7680,159.55448174476624,19,10.0,2.631579,0.0,500,393.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7936,165.51945161819458,19,10.0,2.631579,0.0,500,393.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
8192,170.95527815818787,20,10.0,2.5,0.0,500,398.35,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
8448,176.01627016067505,20,10.0,2.5,0.0,500,398.35,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
8704,181.66110372543335,21,10.0,2.3809524,0.0,500,403.1904761904762,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
8960,187.53580451011658,21,10.0,2.3809524,0.0,500,403.1904761904762,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
9216,193.05613255500793,24,10.0,2.9166667,0.0,500,376.7916666666667,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
9472,198.78500604629517,24,10.0,2.9166667,0.0,500,376.7916666666667,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
9728,204.49465799331665,25,10.0,2.8,0.0,500,381.72,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
9984,210.53004336357117,25,10.0,2.8,0.0,500,381.72,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
10240,216.44226384162903,26,10.0,2.6923077,0.0,500,386.2692307692308,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
10496,222.46134662628174,26,10.0,2.6923077,0.0,500,386.2692307692308,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
10752,228.45232439041138,27,10.0,2.5925925,0.0,500,390.48148148148147,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
